,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
34088063,19858,19858,00121010010012,E09000007,Camden,Inner London - West,100,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,52.1,14250.0,2010-04-01 00:00:00+00:00,2010,2013-12,6583.5,BRITISH TELECOM PLC,,True,2010-04-01,1371.0,True,5011738,17723406.0,CR,,525122.0,185551.0,51.5549799,-0.19660279999999997,2,HAVE AN AVO,,,100.0,,,,100.0,,,,,20400121,,N,osgb1000002298625296,17.0,osgb4000000030602935,7,osgb1000004205012,4,34088063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,1A,D,E05000132,2012-03-19,1,CS,249.0,POINT (525123.726245771 185551.3164321112),2010-04-01 00:00:00,34088063,2014-01-01,1371,2010-04-01,0 days,1371,1,1371,0,1,False,True,Fortune
34088063,19887,19887,00121010010012,E09000007,Camden,Inner London - West,100,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,52.1,15750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7859.25,TRAINLINE.COM LTD,,True,2016-02-05,1882.0,True,5011738,17723406.0,CR,,525122.0,185551.0,51.5549799,-0.19660279999999997,2,HAVE AN AVO,,,100.0,,,,100.0,,,,,20400121,,N,osgb1000002298625296,17.0,osgb4000000030602935,7,osgb1000004205012,4,34088063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,1A,D,E05000132,2012-03-19,1,CS,249.0,POINT (525123.726245771 185551.3164321112),2016-02-05 00:00:00,34088063,2021-04-01,1882,2010-04-01,2136 days,4018,0,1882,2136,1,False,True,Fortune
34090063,19925,19925,00121010200008,E09000007,Camden,Inner London - West,102,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Cafes,409,Retail Restaurants & Cafes,Retail,72.78,18000.0,2017-04-01 00:00:00+00:00,2017,2019-09,8838.0,TELEFONICA UK LIMITED,9152.8,True,2010-04-01,3470.0,True,5016930,17723407.0,C,,525123.0,185556.0,51.5550246,-0.1965866,2,,,,102.0,,,,102.0,,,,,20400121,,N,osgb1000002298625295,17.0,osgb4000000030602706,3,osgb1000004205011,5,34090063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,2L,D,E05000132,2012-03-19,2,CR1,409.0,POINT (525124.7267234097 185556.3149942672),2010-04-01 00:00:00,34090063,2019-10-01,3470,2010-04-01,0 days,3470,1,3470,0,1,False,True,Fortune
34090063,19931,19931,00121010200008,E09000007,Camden,Inner London - West,102,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Cafes,409,Retail Restaurants & Cafes,Retail,72.78,18000.0,2017-04-01 00:00:00+00:00,2017,2021-03,8982.0,TAKAGI UK LTD,0.0,True,2020-04-03,363.0,True,5016930,17723407.0,C,,525123.0,185556.0,51.5550246,-0.1965866,2,,,,102.0,,,,102.0,,,,,20400121,,N,osgb1000002298625295,17.0,osgb4000000030602706,3,osgb1000004205011,5,34090063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,2L,D,E05000132,2012-03-19,2,CR1,409.0,POINT (525124.7267234097 185556.3149942672),2020-04-03 00:00:00,34090063,2021-04-01,363,2010-04-01,3655 days,4018,0,363,3655,1,False,True,Fortune
34092063,19975,19975,00121010410016,E09000007,Camden,Inner London - West,104,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,30.2,14500.0,2017-04-01 00:00:00+00:00,2017,2021-03,7235.5,MANH NAIL SPA LTD,4860.0,True,2015-04-01,2192.0,True,5026292,17723408.0,CR08,,525125.0,185562.0,51.5550781,-0.1965556,2,UNIQUE NAILS & SPA,,,104.0,,,,104.0,,,,,20400121,,N,osgb1000002298625263,20.0,osgb4000000030602706,3,osgb1000004205010,5,34092063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,1D,D,E05000132,2012-03-19,2,CS,249.0,POINT (525126.7290549759 185562.3174596452),2015-04-01 00:00:00,34092063,2021-04-01,2192,2010-04-01,1826 days,4018,0,2192,1826,1,False,True,Fortune
34104063,19459,19459,00121007010012,E09000007,Camden,Inner London - West,70,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,31.8,5100.0,2010-04-01 00:00:00+00:00,2010,2013-03,2295.0,34104063,,True,2010-04-01,,True,5058528,17723405.0,C,,525133.0,185476.0,51.5543034,-0.19647079999999997,1,,,,70.0,,,,70.0,,,,,20400121,,N,osgb1000002298627904,14.0,osgb5000005156070913,1,osgb1000004206011,3,34104063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,1L,D,E05000132,2012-03-19,1,CS,249.0,POINT (525134.7319422269 185476.3117464095),2010-04-01 00:00:00,34104063,2013-04-01,1096,2010-04-01,0 days,1096,1,1096,0,1,False,True,Fortune
34104063,19491,19491,00121007010012,E09000007,Camden,Inner London - West,70,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,31.8,5600.0,2017-04-01 00:00:00+00:00,2017,2021-03,2794.4,DMFK DEVELOPMENT LLP,1100.3,True,2013-04-05,2918.0,True,5058528,17723405.0,C,,525133.0,185476.0,51.5543034,-0.19647079999999997,1,,,,70.0,,,,70.0,,,,,20400121,,N,osgb1000002298627904,14.0,osgb5000005156070913,1,osgb1000004206011,3,34104063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,1L,D,E05000132,2012-03-19,1,CS,249.0,POINT (525134.7319422269 185476.3117464095),2013-04-05 00:00:00,34104063,2021-04-01,2918,2010-04-01,1100 days,4018,0,2918,1100,1,False,True,Fortune
34105063,398917,398917,00121790220004,E09000007,Camden,Inner London - West,69,FORTUNE GREEN ROAD,LONDON,NW6 1DR,Cemeteries (National Scheme),53,Other Public,,59.2219548994821,18750.0,2017-04-01 00:00:00+00:00,2017,2021-03,9356.25,LBC - XG749CE020,1393.94,True,2010-04-01,4018.0,True,5072438,17723371.0,CO01LG,,525119.0,185695.0,51.5562747,-0.1965949,1,LONDON BOROUGH OF CAMDEN,,HAMPSTEAD CEMETERY,,,,,69.0,,,,HAMPSTEAD CEMETERY,20400121,,N,osgb1000002298625233,19.0,osgb5000005156070905,1,osgb1000004204602,5,34105063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DR,NW6 1DR,S,1Y,D,E05000132,2012-03-19,1,MC,53.0,POINT (525120.7236861858 185695.3184425209),2010-04-01 00:00:00,34105063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Fortune
34184063,20063,20063,0012101101001B,E09000007,Camden,Inner London - West,110,FORTUNE GREEN ROAD,LONDON,NW6 1DH,Shops,249,Retail High Street,Retail,77.33,22250.0,2017-04-01 00:00:00+00:00,2017,2021-03,11102.75,34184063,,True,2017-04-01,,True,5069472,56210010.0,C,,525135.0,185592.0,51.5553455,-0.1964008,1,,FLAT 1-8,,110.0,,,,110.0,,,,,20400121,,N,,,osgb4000000031138659,1,osgb1000004205084,5,34184063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DH,NW6 1DH,S,1R,D,E05000132,2020-08-14,10,CS,249.0,POINT (525136.7270449786 185592.3183378531),2017-04-01 00:00:00,34184063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Fortune
101388063,292993,292993,05006055910019,E09000007,Camden,Inner London - West,BST & GND FS 559,FINCHLEY ROAD,LONDON,NW3 7BJ,Restaurants,234,Retail Restaurants & Cafes,Retail,144.6,13500.0,2010-04-01 00:00:00+00:00,2010,2012-09,6075.0,101388063,,True,2010-04-01,,True,5005639,17696729.0,CR08,,525185.0,185767.0,51.5569071,-0.19561779999999998,2,HAFEZ,,,559.0,,,,559.0,,,,,20400045,,N,osgb1000002298008603,35.0,osgb5000005152466959,0,osgb1000004205066,4,101388063.0,FINCHLEY ROAD,,FINCHLEY ROAD,LONDON,CAMDEN,LONDON,NW3 7BJ,NW3 7BJ,S,2B,D,E05000132,2012-03-19,3,CR,234.0,POINT (525186.7227741639 185767.3151542055),2010-04-01 00:00:00,101388063,2012-10-01,914,2010-04-01,0 days,914,1,914,0,1,False,True,Fortune
