,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
8254063,42280,42280,0029400641001A,E09000007,Camden,Inner London - West,64,BELSIZE LANE,LONDON,NW3 5BJ,Shops,249,Retail High Street,Retail,118.7,25500.0,2017-04-01 00:00:00+00:00,2017,2021-03,12724.5,SYLVESTER FINE ART LTD,13011.28,False,2018-09-19,925.0,True,5008480,17692007.0,C,,526849.0,184944.0,51.5491395,-0.17192420000000005,1,,,,64.0,,,,64.0,,,,,20400294,,N,osgb1000002298669151,8.0,osgb4000000030411103,2,osgb1000004337176,3,8254063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5BJ,NW3 5BJ,S,1A,D,E05000133,2012-03-19,1,CS,249.0,POINT (526850.7619075448 184944.3061467477),2018-09-19 00:00:00,8254063,2021-04-01,925,2010-04-01,3093 days,4018,0,925,3093,0,False,True,Belsize
9686063,76728,76728,00432000700006,E09000007,Camden,Inner London - West,7,BELSIZE TERRACE,LONDON,NW3 4AX,Shops,249,Retail High Street,Retail,78.82,19000.0,2017-04-01 00:00:00+00:00,2017,2021-03,9481.0,BARRETT FIRRELL LTD,0.0,False,2011-01-08,3736.0,True,5034241,17688905.0,CR08,,526903.0,184959.0,51.54926210000001,-0.1711404,1,SHADES,,,7.0,,,,7.0,,,,,20400432,,N,osgb1000002298669232,11.0,osgb4000000030223556,4,osgb1000004337111,3,9686063.0,BELSIZE TERRACE,,BELSIZE TERRACE,LONDON,CAMDEN,LONDON,NW3 4AX,NW3 4AX,S,1E,D,E05000128,2012-03-19,1,CS,249.0,POINT (526904.7635599124 184959.2982450202),2011-01-08 00:00:00,9686063,2021-04-01,3736,2010-04-01,282 days,4018,0,3736,282,0,False,True,Belsize
24177063,41532,41532,0028700251001A,E09000007,Camden,Inner London - West,25,DALEHAM MEWS,LONDON,NW3 5DB,Garages (Transport and Commercial),113,Other Public,,101.81,12500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6237.5,JRJ MOTORS LTD,98.64,False,2018-12-22,831.0,True,5001536,50671401.0,C,,526768.0,184884.0,51.5486184,-0.1731134,1,,FLAT,,25.0,,,,25.0,,,,,20400287,,N,osgb1000002298940667,6.0,osgb4000000030139073,2,osgb1000004337230,6,24177063.0,DALEHAM MEWS,,DALEHAM MEWS,LONDON,CAMDEN,LONDON,NW3 5DB,NW3 5DB,S,3Q,D,E05000133,2012-03-19,1,CG2,113.0,POINT (526769.7594072027 184884.2974631555),2018-12-22 00:00:00,24177063,2021-04-01,831,2010-04-01,3187 days,4018,0,831,3187,0,False,True,Belsize
97038063,41928,41928,00294003510016,E09000007,Camden,Inner London - West,BST & GND FS 35,BELSIZE LANE,LONDON,NW3 5AS,Shops,249,Retail High Street,Retail,56.3,18250.0,2017-04-01 00:00:00+00:00,2017,2021-03,9106.75,NORTH SQUARE PROPERTIES,0.0,False,2010-04-01,4018.0,True,5003535,17691893.0,CR08,,526896.0,184973.0,51.549389500000004,-0.17123629999999998,1,LEXINGTONS,,,35.0,,,,35.0,,,,,20400294,,N,osgb1000002298669235,15.0,osgb4000000030223555,6,osgb1000004337114,3,97038063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AS,NW3 5AS,S,1F,D,E05000128,2012-03-19,1,CS,249.0,POINT (526897.7604245299 184973.2994956871),2010-04-01 00:00:00,97038063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,Belsize
97089063,42600,42600,0029400901003A,E09000007,Camden,Inner London - West,1ST F 90,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,40.8,9600.0,2010-04-01 00:00:00+00:00,2010,2013-03,4320.0,PHILIP FAITH SETTLEMENT TRUST,0.0,False,2012-06-24,281.0,True,5159952,,CO01,5087743.0,526783.0,184870.0,51.54848920000001,-0.1729022,1,,,,,,,OFFICES AND PREMISES AT 1ST FLOOR,90.0,,,,,20400294,,N,,,osgb4000000030329928,6,osgb1000004337223,5,97089063.0,BELSIZE LANE,,,LONDON,CAMDEN,,,NW3 5BE,,,C,E05000133,,0,CO,203.0,POINT (526784.7613990456 184870.2955428479),2012-06-24 00:00:00,97089063,2013-04-01,281,2010-04-01,815 days,1096,1,281,815,0,False,True,Belsize
205805063,42396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belsize
578066000,42438,42438,0029400720000A,E09000007,Camden,Inner London - West,BST & GRD FLRS 72,BELSIZE LANE,LONDON,NW3 5BJ,Restaurants,234,Retail Restaurants & Cafes,Retail,131.16,35250.0,2010-04-01 00:00:00+00:00,2010,2016-09,17061.0,AKRE LTD,0.0,False,2016-04-29,155.0,True,5008514,17692016.0,C,,526836.0,184926.0,51.54898060000001,-0.1721181,1,,,,72.0,,,,72.0,,,,,20400294,,N,osgb1000002298669309,10.0,osgb4000000030329993,5,osgb1000004337180,3,578066000.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5BJ,NW3 5BJ,S,1F,D,E05000133,2012-03-19,4,CR,234.0,POINT (526837.7599705134 184926.2997543675),2016-04-29 00:00:00,578066000,2016-10-01,155,2010-04-01,2220 days,2375,1,155,2220,0,False,False,Belsize
810141000,41930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belsize
1069934000,42357,42357,00294006810028,E09000007,Camden,Inner London - West,BST & GND FLRS 68,BELSIZE LANE,LONDON,NW3 5BJ,Restaurants,234,Retail Restaurants & Cafes,Retail,131.14,35750.0,2017-04-01 00:00:00+00:00,2017,2018-06,17160.0,FAIRFAX PARTNERS LTD,0.0,False,2011-04-01,2648.0,True,5008515,54478105.0,C,,526842.0,184935.0,51.54906010000001,-0.1720284,1,,FLAT 1-4,,68.0,,,,68.0,,,,,20400294,,N,,,osgb4000000030329993,5,osgb1000004337178,3,1069934000.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5BJ,NW3 5BJ,S,2B,D,E05000133,2016-09-13,5,CR,234.0,POINT (526843.758153082 184935.2959448657),2011-04-01 00:00:00,1069934000,2018-07-01,2648,2010-04-01,365 days,3013,1,2648,365,0,False,True,Belsize
1967822000,42934,42934,00294010200029,E09000007,Camden,Inner London - West,ROOM 4 1ST F 102,BELSIZE LANE,LONDON,NW3 5BB,Offices (Inc Computer Centres),203,Office General,Office,15.0,5300.0,2017-04-01 00:00:00+00:00,2017,2019-09,2602.3,BONDMANOR LTD,1446.06,False,2018-12-01,304.0,True,5144541,,CO01,5107551.0,526754.0,184827.0,51.5481093,-0.1733357,1,,,,,,,OFFICES AND PREMISES AT ROOM 4 1ST FLOOR,102.0,,,,,20400294,,N,,,osgb4000000030872450,3,osgb1000004337267,3,1967822000.0,BELSIZE LANE,,,LONDON,CAMDEN,,,NW3 5BB,,,C,E05000133,,0,CO,203.0,POINT (526755.7604670442 184827.2982074535),2018-12-01 00:00:00,1967822000,2019-10-01,304,2010-04-01,3166 days,3470,1,304,3166,0,False,True,Belsize
